,comment,label
1,I like the ease of use. Very satisfied.,Satisfied
2,This is our second one. No problems just good coffee.,Satisfied
3,Works like a charm.,Praise
4,Works great and the water filter included was a nice surprise.,Satisfied
5,Enjoying it every day.,Praise
6,"Very disappointed with this product. It has not worked correctly and consistently. Called the support team and they told me to clean the machine. I had it less than 1 month using filtered water and it requires cleaning? I cleaned it as they said, next day it is not working again. Some days it will work and some days it wont. I had to go back to my old drip coffee maker to have my morning cup. I do not recommend this product. Ether try a different model or a different product but pass on the K55.",Complaint
7,"it is small enough to go in a corner. makes coffee fast, easy to use.  wish I had bought it sooner.  great for one or 2 people, no waist of coffee at all. use my own coffee in the reusable mesh cups. have already saved money.",Satisfied
8,"My order came on time. Where I am located I was not able to use this item. Two days ago I finally got to open the box and the coffee machine does not work. I went to my orders and then noticed that I missed the window to return...this is not good for me at all. Situation is I'm in Iraq working and because of my mission I was able to open this box not even realizing that I could have return it. Further more I cannot request a return receipt from the seller....I have SO many K-cups, I mean boxes with 64 boxes in each box. My mates and I were looking for this to work.BTW, my dash board reads that an item/s (not this one in questions) is still delivered but in fact I have already received it.",Complaint
9,great purchase Keurig is a good brand,Satisfied
10,Have enjoyed the machine since its arrival.  Easy set up little maintenance!!!,Praise
11,"Used less than 10 times and it's not working! Great, more junk for my money! Oh, it's past the 30 day return window. Can't return the JUNK!",Complaint
12,"Love this keurig. Can use any kcups. I had a k475. It was nice but you had to use specific keurig k cups that the machine ""read"". If they were not the right cups....No coffee.",Ambivalent
13,Just what I needed now that I am alone.,Satisfied
14,kids and family love it. gets them to drink tea instead of soda and juices.,Satisfied
15,The Keurig is awesome!  We love it!,Praise
16,I'm a little disappointed.  I had one of the original Keurigs and it definitely made a better cup of coffee.  This one tastes somewhat watered down so I've found I have to purchase the dark and bold cups to get close to what I like in a cup of coffee.  I expected better.,Complaint
17,"It stopped working 3 weeks after we bought it and my husband spent considerable time on the phone with Keurig cleaning pins, etc. to make it work again.  Very helpful customer service, but the applicance shouldn't break down after 3 weeks.",Ambivalent
18,"Just what I wanted, a no frills one shot Keurig with a reservoir - which spoiled me and now I'd like an even larger reservoir I drink so much coffee.",Satisfied
19,Works great. Makes alot of noise and does not hold alot of water,Ambivalent
